sample_name	bioproject_accession	organism	isolate	breed	age	sex	replicate	tissue
CN51_C2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN51_C2_1	spinal cord
CN51_C2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN51_C2_2	spinal cord
L6CN51_E1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN51_E1_1	spinal cord
L6CN51_E1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN51_E1_2	spinal cord
L6CN51_E2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN51_E2_1	spinal cord
L6CN51_E2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN51_E2_2	spinal cord
CN52_C2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN52_C2_1	spinal cord
CN52_C2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN52_C2_2	spinal cord
L6CN52_D1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN52_D1_1	spinal cord
L6CN52_D1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN52_D1_2	spinal cord
L6CN52_D2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN52_D2_1	spinal cord
L6CN52_D2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN52_D2_2	spinal cord
CN53_D1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN53_D1_1	spinal cord
CN53_D1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN53_D1_2	spinal cord
CN53_D2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN53_D2_1	spinal cord
CN53_D2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN53_D2_2	spinal cord
CN53_E1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN53_E1_1	spinal cord
CN53_E1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN53_E1_2	spinal cord
CN56_C2_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	CN56_C2_1	spinal cord
CN56_C2_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	CN56_C2_2	spinal cord
CN56_D1_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	CN56_D1_1	spinal cord
CN56_D1_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	CN56_D1_2	spinal cord
CN56_D2_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	CN56_D2_1	spinal cord
CN56_D2_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	CN56_D2_2	spinal cord
